cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,num_requests
8192,8,32,lru,1024,396117,119566,119310,515683
8192,8,64,lru,1024,443034,72649,72137,515683
8192,8,128,lru,1024,464776,50907,49883,515683
8192,8,256,lru,1024,475965,39718,38694,515683
8192,16,1,lru,512,61817,453866,453850,515683
8192,16,2,lru,512,94130,421553,421521,515683
8192,16,4,lru,512,144303,371380,371316,515683
8192,16,8,lru,512,246429,269254,269126,515683
8192,16,16,lru,512,396391,119292,119036,515683
8192,16,32,lru,512,442464,73219,72707,515683
8192,16,64,lru,512,466914,48769,48257,515683
8192,16,128,lru,512,476873,38810,38298,515683
8192,16,256,lru,512,489884,25799,25287,515683
8192,32,1,lru,256,92775,422908,422876,515683
8192,32,2,lru,256,154577,361106,361042,515683
8192,32,4,lru,256,261503,254180,254052,515683
8192,32,8,lru,256,388151,127532,127276,515683
8192,32,16,lru,256,443901,71782,71526,515683
8192,32,32,lru,256,467527,48156,47900,515683
8192,32,64,lru,256,487554,28129,27873,515683
8192,32,128,lru,256,500788,14895,14639,515683
8192,32,256,lru,256,507636,8047,7791,515683
8192,64,1,lru,128,155275,360408,360344,515683
8192,64,2,lru,128,271519,244164,244036,515683
8192,64,4,lru,128,390055,125628,125500,515683
8192,64,8,lru,128,444186,71497,71369,515683
8192,64,16,lru,128,476403,39280,39152,515683
8192,64,32,lru,128,496988,18695,18567,515683
8192,64,64,lru,128,506242,9441,9313,515683
8192,64,128,lru,128,510373,5310,5182,515683
16384,4,1,lru,4096,28549,487134,487130,515683
16384,4,2,lru,4096,55331,460352,460344,515683
16384,4,4,lru,4096,77765,437918,437902,515683
16384,4,8,lru,4096,127244,388439,388407,515683
16384,4,16,lru,4096,230703,284980,284916,515683
16384,4,32,lru,4096,382822,132861,132733,515683
16384,4,64,lru,4096,435220,80463,80207,515683
16384,4,128,lru,4096,459598,56085,55573,515683
16384,4,256,lru,4096,471842,43841,42817,515683
16384,8,1,lru,2048,35206,480477,480469,515683
16384,8,2,lru,2048,66519,449164,449148,515683
16384,8,4,lru,2048,92341,423342,423310,515683
16384,8,8,lru,2048,142313,373370,373306,515683
16384,8,16,lru,2048,246202,269481,269353,515683
16384,8,32,lru,2048,396117,119566,119310,515683
16384,8,64,lru,2048,443034,72649,72137,515683
16384,8,128,lru,2048,464776,50907,49883,515683
16384,8,256,lru,2048,473808,41875,39827,515683
16384,16,1,lru,1024,61817,453866,453850,515683
16384,16,2,lru,1024,94130,421553,421521,515683
16384,16,4,lru,1024,144303,371380,371316,515683
16384,16,8,lru,1024,246429,269254,269126,515683
16384,16,16,lru,1024,396391,119292,119036,515683
16384,16,32,lru,1024,442464,73219,72707,515683
16384,16,64,lru,1024,464844,50839,49815,515683
16384,16,128,lru,1024,475835,39848,38824,515683
16384,16,256,lru,1024,479139,36544,35520,515683
16384,32,1,lru,512,92775,422908,422876,515683
16384,32,2,lru,512,154577,361106,361042,515683
16384,32,4,lru,512,261503,254180,254052,515683
16384,32,8,lru,512,388151,127532,127276,515683
16384,32,16,lru,512,441994,73689,73177,515683
16384,32,32,lru,512,466558,49125,48613,515683
16384,32,64,lru,512,476873,38810,38298,515683
16384,32,128,lru,512,489904,25779,25267,515683
