cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
1048576,4096,1,fifo,256,484065,31618,31362,0.938687,515683
1048576,4096,2,fifo,256,504560,11123,10867,0.978431,515683
1048576,4096,4,fifo,256,510286,5397,5141,0.989534,515683
1048576,4096,8,fifo,256,512734,2949,2693,0.994281,515683
1048576,4096,16,fifo,256,514016,1667,1411,0.996767,515683
1048576,4096,32,fifo,256,514676,1007,751,0.998047,515683
1048576,4096,64,fifo,256,515050,633,377,0.998773,515683
1048576,4096,128,fifo,256,515231,452,196,0.999124,515683
1048576,4096,256,fifo,256,515363,320,64,0.999379,515683
