cache_size,block_size,associativity,lru_fifo,num_lines,hits,misses,replacements,hit_rate,num_requests
1048576,4096,1,lru,256,484065,31618,31362,0.938687,515683
1048576,4096,2,lru,256,505400,10283,10027,0.980059,515683
1048576,4096,4,lru,256,510978,4705,4449,0.990876,515683
1048576,4096,8,lru,256,513146,2537,2281,0.99508,515683
1048576,4096,16,lru,256,514242,1441,1185,0.997206,515683
1048576,4096,32,lru,256,514796,887,631,0.99828,515683
1048576,4096,64,lru,256,515112,571,315,0.998893,515683
1048576,4096,128,lru,256,515274,409,153,0.999207,515683
1048576,4096,256,lru,256,515384,299,43,0.99942,515683
